Kode,Industri
CPRO,Consumer Non-Cyclicals
DLTA,Consumer Non-Cyclicals
DSFI,Consumer Non-Cyclicals
DSNG,Consumer Non-Cyclicals
EPMT,Consumer Non-Cyclicals
FISH,Consumer Non-Cyclicals
GGRM,Consumer Non-Cyclicals
GOLL,Consumer Non-Cyclicals
GZCO,Consumer Non-Cyclicals
HERO,Consumer Non-Cyclicals
HMSP,Consumer Non-Cyclicals
ICBP,Consumer Non-Cyclicals
INDF,Consumer Non-Cyclicals
JAWA,Consumer Non-Cyclicals
JPFA,Consumer Non-Cyclicals
LAPD,Consumer Non-Cyclicals
LSIP,Consumer Non-Cyclicals
MAGP,Consumer Non-Cyclicals
MAIN,Consumer Non-Cyclicals
MBTO,Consumer Non-Cyclicals
MIDI,Consumer Non-Cyclicals
MLBI,Consumer Non-Cyclicals
MLPL,Consumer Non-Cyclicals
MPPA,Consumer Non-Cyclicals
MRAT,Consumer Non-Cyclicals
MYOR,Consumer Non-Cyclicals
PSDN,Consumer Non-Cyclicals
RANC,Consumer Non-Cyclicals
ROTI,Consumer Non-Cyclicals
SDPC,Consumer Non-Cyclicals
SGRO,Consumer Non-Cyclicals
SIMP,Consumer Non-Cyclicals
SIPD,Consumer Non-Cyclicals
SKBM,Consumer Non-Cyclicals
SKLT,Consumer Non-Cyclicals
SMAR,Consumer Non-Cyclicals
SSMS,Consumer Non-Cyclicals
STTP,Consumer Non-Cyclicals
TBLA,Consumer Non-Cyclicals
TCID,Consumer Non-Cyclicals
TGKA,Consumer Non-Cyclicals
ULTJ,Consumer Non-Cyclicals
UNSP,Consumer Non-Cyclicals
UNVR,Consumer Non-Cyclicals
WAPO,Consumer Non-Cyclicals
WICO,Consumer Non-Cyclicals
WIIM,Consumer Non-Cyclicals
DAYA,Consumer Non-Cyclicals
DPUM,Consumer Non-Cyclicals
KINO,Consumer Non-Cyclicals
CLEO,Consumer Non-Cyclicals
HOKI,Consumer Non-Cyclicals
CAMP,Consumer Non-Cyclicals
PCAR,Consumer Non-Cyclicals
MGRO,Consumer Non-Cyclicals
ANDI,Consumer Non-Cyclicals
GOOD,Consumer Non-Cyclicals
FOOD,Consumer Non-Cyclicals
BEEF,Consumer Non-Cyclicals
COCO,Consumer Non-Cyclicals
ITIC,Consumer Non-Cyclicals
KEJU,Consumer Non-Cyclicals
PSGO,Consumer Non-Cyclicals
AGAR,Consumer Non-Cyclicals
UCID,Consumer Non-Cyclicals
CSRA,Consumer Non-Cyclicals
DMND,Consumer Non-Cyclicals
IKAN,Consumer Non-Cyclicals
PGUN,Consumer Non-Cyclicals
PNGO,Consumer Non-Cyclicals
KMDS,Consumer Non-Cyclicals
ENZO,Consumer Non-Cyclicals
VICI,Consumer Non-Cyclicals
PMMP,Consumer Non-Cyclicals
FAPA,Consumer Non-Cyclicals
WMUU,Consumer Non-Cyclicals
TAPG,Consumer Non-Cyclicals
FLMC,Consumer Non-Cyclicals
OILS,Consumer Non-Cyclicals
BOBA,Consumer Non-Cyclicals
CMRY,Consumer Non-Cyclicals
TAYS,Consumer Non-Cyclicals
WMPP,Consumer Non-Cyclicals
IPPE,Consumer Non-Cyclicals
NASI,Consumer Non-Cyclicals
STAA,Consumer Non-Cyclicals
NANO,Consumer Non-Cyclicals
TLDN,Consumer Non-Cyclicals
IBOS,Consumer Non-Cyclicals
ASHA,Consumer Non-Cyclicals
TRGU,Consumer Non-Cyclicals
DEWI,Consumer Non-Cyclicals
GULA,Consumer Non-Cyclicals
JARR,Consumer Non-Cyclicals
AMMS,Consumer Non-Cyclicals
EURO,Consumer Non-Cyclicals
BUAH,Consumer Non-Cyclicals
CRAB,Consumer Non-Cyclicals
CBUT,Consumer Non-Cyclicals
MKTR,Consumer Non-Cyclicals
SOUL,Consumer Non-Cyclicals
BEER,Consumer Non-Cyclicals
WINE,Consumer Non-Cyclicals
NAYZ,Consumer Non-Cyclicals
NSSS,Consumer Non-Cyclicals
MAXI,Consumer Non-Cyclicals
GRPM,Consumer Non-Cyclicals
TGUK,Consumer Non-Cyclicals
PTPS,Consumer Non-Cyclicals
STRK,Consumer Non-Cyclicals
UDNG,Consumer Non-Cyclicals
AYAM,Consumer Non-Cyclicals
ISEA,Consumer Non-Cyclicals
GUNA,Consumer Non-Cyclicals
NEST,Consumer Non-Cyclicals
BRRC,Consumer Non-Cyclicals
YUPI,Consumer Non-Cyclicals
FORE,Consumer Non-Cyclicals
MSJA,Consumer Non-Cyclicals
ABMM,Energy
ADRO,Energy
AIMS,Energy
AKRA,Energy
APEX,Energy
ARII,Energy
ARTI,Energy
BBRM,Energy
BIPI,Energy
BSSR,Energy
BULL,Energy
BUMI,Energy
BYAN,Energy
CANI,Energy
CNKO,Energy
DEWA,Energy
DOID,Energy
DSSA,Energy
ELSA,Energy
ENRG,Energy
GEMS,Energy
GTBO,Energy
HITS,Energy
HRUM,Energy
IATA,Energy
INDY,Energy
ITMA,Energy
ITMG,Energy
KKGI,Energy
KOPI,Energy
LEAD,Energy
MBAP,Energy
MBSS,Energy
MEDC,Energy
MTFN,Energy
MYOH,Energy
PGAS,Energy
PKPK,Energy
PTBA,Energy
PTIS,Energy
PTRO,Energy
RAJA,Energy
RIGS,Energy
RUIS,Energy
SMMT,Energy
SMRU,Energy
SOCI,Energy
SUGI,Energy
TOBA,Energy
TPMA,Energy
TRAM,Energy
WINS,Energy
SHIP,Energy
TAMU,Energy
FIRE,Energy
PSSI,Energy
DWGL,Energy
BOSS,Energy
JSKY,Energy
INPS,Energy
TCPI,Energy
SURE,Energy
WOWS,Energy
TEBE,Energy
SGER,Energy
UNIQ,Energy
MCOL,Energy
GTSI,Energy
RMKE,Energy
BSML,Energy
ADMR,Energy
SEMA,Energy
SICO,Energy
COAL,Energy
SUNI,Energy
CBRE,Energy
HILL,Energy
CUAN,Energy
MAHA,Energy
RMKO,Energy
HUMI,Energy
RGAS,Energy
ALII,Energy
MKAP,Energy
ATLA,Energy
BOAT,Energy
AADI,Energy
RATU,Energy
PSAT,Energy
BESS,Energy
CGAS,Energy
ATIC,Technology
EMTK,Technology
KREN,Technology
LMAS,Technology
MLPT,Technology
MTDL,Technology
PTSN,Technology
SKYB,Technology
KIOS,Technology
MCAS,Technology
NFCX,Technology
DIVA,Technology
LUCK,Technology
ENVY,Technology
HDIT,Technology
TFAS,Technology
DMMX,Technology
GLVA,Technology
PGJO,Technology
CASH,Technology
TECH,Technology
WIFI,Technology
DCII,Technology
EDGE,Technology
ZYRX,Technology
UVCR,Technology
BUKA,Technology
RUNS,Technology
WGSH,Technology
WIRG,Technology
GOTO,Technology
AXIO,Technology
BELI,Technology
NINE,Technology
ELIT,Technology
IRSX,Technology
CHIP,Technology
TRON,Technology
JATI,Technology
CYBR,Technology
IOTF,Technology
MSTI,Technology
TOSK,Technology
MPIX,Technology
AREA,Technology
MENN,Technology
AWAN,Technology
DVLA,Healthcare
INAF,Healthcare
KAEF,Healthcare
KLBF,Healthcare
MERK,Healthcare
MIKA,Healthcare
PYFA,Healthcare
SAME,Healthcare
SCPI,Healthcare
SIDO,Healthcare
SILO,Healthcare
SRAJ,Healthcare
TSPC,Healthcare
PRDA,Healthcare
PRIM,Healthcare
HEAL,Healthcare
PEHA,Healthcare
IRRA,Healthcare
SOHO,Healthcare
DGNS,Healthcare
BMHS,Healthcare
RSGK,Healthcare
MTMH,Healthcare
MEDS,Healthcare
PRAY,Healthcare
OMED,Healthcare
MMIX,Healthcare
PEVE,Healthcare
HALO,Healthcare
RSCH,Healthcare
IKPM,Healthcare
SURI,Healthcare
LABS,Healthcare
OBAT,Healthcare
CHEK,Healthcare
MDLA,Healthcare
DKHH,Healthcare
CARE,Healthcare
AMFG,Industrials
AMIN,Industrials
APII,Industrials
ARNA,Industrials
ASGR,Industrials
ASII,Industrials
BHIT,Industrials
BNBR,Industrials
CTTH,Industrials
DYAN,Industrials
HEXA,Industrials
IBFN,Industrials
ICON,Industrials
IKAI,Industrials
IKBI,Industrials
IMPC,Industrials
INDX,Industrials
INTA,Industrials
JECC,Industrials
JTPE,Industrials
KBLI,Industrials
KBLM,Industrials
KIAS,Industrials
KOBX,Industrials
KOIN,Industrials
KONI,Industrials
LION,Industrials
MDRN,Industrials
MFMI,Industrials
MLIA,Industrials
SCCO,Industrials
TIRA,Industrials
TOTO,Industrials
TRIL,Industrials
UNTR,Industrials
VOKS,Industrials
ZBRA,Industrials
MARK,Industrials
SPTO,Industrials
SKRN,Industrials
CAKK,Industrials
SOSS,Industrials
CCSI,Industrials
BLUE,Industrials
ARKA,Industrials
SINI,Industrials
HOPE,Industrials
LABA,Industrials
GPSO,Industrials
KUAS,Industrials
BINO,Industrials
NTBK,Industrials
PADA,Industrials
KING,Industrials
PTMP,Industrials
SMIL,Industrials
CRSN,Industrials
WIDI,Industrials
FOLK,Industrials
MUTU,Industrials
HYGN,Industrials
VISI,Industrials
MHKI,Industrials
NAIK,Industrials
PIPA,Industrials
