Kode,Industri,Market Cap
PAMG,Properties & Real Estate,199999995904.0
BAPI,Properties & Real Estate,201311289344.0
NZIA,Properties & Real Estate,681237610496.0
REAL,Properties & Real Estate,411283849216.0
INDO,Properties & Real Estate,1236684767232.0
TRIN,Properties & Real Estate,4665244123136.0
KBAG,Properties & Real Estate,378950156288.0
BBSS,Properties & Real Estate,1267204227072.0
UANG,Properties & Real Estate,4961000226816.0
PURI,Properties & Real Estate,216000004096.0
HOMI,Properties & Real Estate,485100027904.0
ROCK,Properties & Real Estate,3473147953152.0
ATAP,Properties & Real Estate,843749982208.0
ADCP,Properties & Real Estate,1266666569728.0
TRUE,Properties & Real Estate,1862492487680.0
IPAC,Properties & Real Estate,163377381376.0
WINR,Properties & Real Estate,235589222400.0
BSBK,Properties & Real Estate,1706248110080.0
CBPE,Properties & Real Estate,425862496256.0
VAST,Properties & Real Estate,470582296576.0
SAGE,Properties & Real Estate,289206992896.0
RELF,Properties & Real Estate,252024619008.0
HBAT,Properties & Real Estate,470414852096.0
GRIA,Properties & Real Estate,914589351936.0
MSIE,Properties & Real Estate,68620365824.0
KOCI,Properties & Real Estate,747948867584.0
KSIX,Properties & Real Estate,761068126208.0
CBDK,Properties & Real Estate,36139519967232.0
DADA,Properties & Real Estate,371576537088.0
ASPI,Properties & Real Estate,292670996480.0
AMAN,Properties & Real Estate,1200784932864.0
ABDA,Financials,1384398848000.0
ADMF,Financials,10237663772672.0
AGRO,Financials,5343946473472.0
AGRS,Financials,3685557731328.0
AHAP,Financials,641899954176.0
AMAG,Financials,2119350091776.0
APIC,Financials,15766860595200.0
ARTO,Financials,23702875930624.0
ASBI,Financials,148412628992.0
ASDM,Financials,253440000000.0
ASJT,Financials,285599989760.0
ASMI,Financials,295626539008.0
ASRM,Financials,383397625856.0
BABP,Financials,2578621661184.0
BACA,Financials,3252343013376.0
BBCA,Financials,901070448492544.0
BBHI,Financials,30096406609920.0
BBKP,Financials,13903677358080.0
BBLD,Financials,1522361434112.0
BBMD,Financials,8138831953920.0
BBNI,Financials,168028163538944.0
BBRI,Financials,574408590622720.0
BBTN,Financials,19086845149184.0
BBYB,Financials,5019781300224.0
BCAP,Financials,2258799165440.0
BCIC,Financials,2825147645952.0
BDMN,Financials,25606708264960.0
BEKS,Financials,1607983562752.0
BFIN,Financials,10602765352960.0
BGTG,Financials,3331968466944.0
BINA,Financials,28771820240896.0
BJBR,Financials,8680190771200.0
BJTM,Financials,8708988862464.0
BKSW,Financials,2250115121152.0
BMAS,Financials,9051331100672.0
BMRI,Financials,473666643034112.0
BNBA,Financials,2998380003328.0
BNGA,Financials,47536496705536.0
BNII,Financials,16767343656960.0
BNLI,Financials,150876060647424.0
BPFI,Financials,759414652928.0
BPII,Financials,5485705035776.0
BSIM,Financials,21983519571968.0
BSWD,Financials,3873310244864.0
BTPN,Financials,22462945296384.0
BVIC,Financials,2334114185216.0
CFIN,Financials,1298953666560.0
DEFI,Financials,112892002304.0
DNAR,Financials,2692224385024.0
DNET,Financials,128719792373760.0
GSMF,Financials,1650726404096.0
HDFA,Financials,804720803840.0
INPC,Financials,4044682428416.0
LPGI,Financials,1799999979520.0
LPPS,Financials,248472010752.0
MAYA,Financials,5809264132096.0
MCOR,Financials,2919819378688.0
MEGA,Financials,39214682996736.0
MREI,Financials,592871489536.0
NISP,Financials,35450483900416.0
NOBU,Financials,3963575336960.0
OCAP,Financials,43438800896.0
PADI,Financials,1447327563776.0
PALM,Financials,5978492239872.0
PANS,Financials,1127614644224.0
PEGE,Financials,617684926464.0
PLAS,Financials,59209998336.0
PNBN,Financials,25389390888960.0
PNBS,Financials,2057123004416.0
PNIN,Financials,3295342231552.0
PNLF,Financials,8966180438016.0
POOL,Financials,117068505088.0
RELI,Financials,917999976448.0
SDRA,Financials,4055044456448.0
SMMA,Financials,88032963198976.0
SRTG,Financials,23441212178432.0
STAR,Financials,3264000294912.0
TIFA,Financials,1378258649088.0
TRIM,Financials,4230033702912.0
TRUS,Financials,347199995904.0
VICO,Financials,2891244371968.0
VINS,Financials,304472424448.0
VRNA,Financials,489112436736.0
WOMF,Financials,1134962933760.0
YULE,Financials,5269792227328.0
CASA,Financials,75177253666816.0
BRIS,Financials,109787635253248.0
MTWI,Financials,1011872366592.0
JMAS,Financials,222000005120.0
NICK,Financials,784635789312.0
BTPS,Financials,9359699476480.0
TUGU,Financials,4782248951808.0
POLA,Financials,298245718016.0
SFAN,Financials,2631472513024.0
LIFE,Financials,17009999872000.0
FUJI,Financials,639599968256.0
AMAR,Financials,3818898849792.0
AMOR,Financials,780899844096.0
BHAT,Financials,6999999774720.0
BBSI,Financials,15360343408640.0
BANK,Financials,9097802940416.0
MASB,Financials,4346233225216.0
VTNY,Financials,538806648832.0
YOII,Financials,345893437440.0
COIN,Financials,27726243168256.0
ACST,Infrastructures,2350796242944.0
ADHI,Infrastructures,2017826177024.0
BALI,Infrastructures,5429737816064.0
BTEL,Infrastructures,1833194881024.0
BUKK,Infrastructures,4185116639232.0
CASS,Infrastructures,5050419118080.0
CENT,Infrastructures,3960300109824.0
CMNP,Infrastructures,9341414408192.0
DGIK,Infrastructures,735155912704.0
EXCL,Infrastructures,51486608326656.0
GOLD,Infrastructures,406173777920.0
HADE,Infrastructures,57239998464.0
IBST,Infrastructures,6659961257984.0
ISAT,Infrastructures,71596802834432.0
JKON,Infrastructures,1353607151616.0
JSMR,Infrastructures,27579910193152.0
KARW,Infrastructures,165577064448.0
KBLV,Infrastructures,259583016960.0
LINK,Infrastructures,7649394950144.0
META,Infrastructures,4123410563072.0
NRCA,Infrastructures,2055771389952.0
PTPP,Infrastructures,2239093538816.0
SSIA,Infrastructures,6963768852480.0
SUPR,Infrastructures,49882865860608.0
TBIG,Infrastructures,40152005083136.0
TLKM,Infrastructures,352661509505024.0
TOTL,Infrastructures,3665749868544.0
TOWR,Infrastructures,31026504007680.0
WIKA,Infrastructures,8133880578048.0
WSKT,Infrastructures,5818974994432.0
IDPR,Infrastructures,560840048640.0
MTRA,Infrastructures,187879997440.0
OASA,Infrastructures,2653137928192.0
POWR,Infrastructures,11080962146304.0
PBSA,Infrastructures,4440000036864.0
PORT,Infrastructures,2785802715136.0
TGRA,Infrastructures,74250002432.0
TOPS,Infrastructures,33329999872.0
MPOW,Infrastructures,88235679744.0
