Ticker,Industry,trailingPE,forwardPE,pegRatio,priceToBook,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,freeCashflow,operatingCashflow,revenueGrowth,earningsGrowth,averageVolume,volume,marketCap,regularMarketPrice,avg_value_traded,fundamental_score
CBDK,Properties & Real Estate,20.32537,,,3.083706,0.14453,0.04177,0.54491,0.34877,2.082,1.199,0.339,880603430912,719356362752,-0.69,-0.793,9930362,6066800,27834517028864,4910.0,48758077420.0,265.5852670228146
AHAP,Financials,,,,2.682916,-0.01086,-0.00557,-0.00815,0.01319,15.903,1.195,0.358,1859285760,20755625984,-0.029,1.495,92441605,75751700,578199945216,118.0,10908109390.0,344.13125870653613
BBYB,Financials,7.6923075,4.6687036,,1.0287254,0.14519,0.0311,0.39596,0.33222,,,,,3487020875776,0.114,5.854,63319816,19853800,4352257032192,326.0,20642260016.0,425.82677487738727
BFIN,Financials,6.7980967,6.278027,,0.9757471,0.15180999,0.06252,0.35522,0.45224997,127.618,2.422,2.398,,1413431033856,0.037,-0.124,24597308,8163000,10394568491008,700.0,17218115600.0,478.10136153819724
PADI,Financials,859.99994,,,9.245323,0.01158,0.00838,0.02989,0.72116995,5.612,2.123,1.453,,-1473490176,0.267,,561583073,2508624200,1458634752000,129.0,72444216417.0,290.6983796215447
PNLF,Financials,4.4803524,,,0.25086957,0.052259997,0.01381,0.16694,0.69583,,,,,-5279239897088,0.675,0.898,94379900,14769500,7813385945088,244.0,23028695600.0,278.2385624729927
SRTG,Financials,3.196907,12.006981,,0.39574647,0.13229999,0.07057,1.04291,0.99516,2.462,1366.87,1366.085,4044745867264,1384281014272,,,16191685,3886200,23305713090560,1720.0,27849698200.0,586.2436570172229
TUGU,Financials,6.25,,,0.4373166,0.07603,0.023359999,0.12342,0.016339999,7.722,1.202,0.523,1288850243584,1198607958016,0.806,,4735433,972400,4444469592064,1250.0,5919291250.0,477.54523529931663
ISAT,Infrastructures,12.64119,10.838477,,1.9179865,0.15277,0.057800002,0.09749,0.21519,138.994,0.623,0.29,3766067920896,21550577221632,0.091,0.862,23070639,7539900,69661752295424,2160.0,49832580240.0,479.68899856955363
JSMR,Infrastructures,6.269593,6.242962,,0.6308482,0.07933,0.03779,0.12243,0.26654,120.598,0.579,0.511,-10187510382592,5661227745280,-0.053,-0.245,6024239,3442000,22934873702400,3160.0,19036595240.0,307.21227111117213
TLKM,Infrastructures,14.641488,12.29367,,2.3186991,0.18306999,0.083129995,0.14765,0.25212,50.111,0.772,0.666,28141623967744,65249998798848,-0.009,-0.187,134614350,70335700,317989714919424,3210.0,432112063500.0,505.1771596375371
TOWR,Infrastructures,7.3421874,6.896552,,1.06183,0.15922,0.06327,0.27599,0.5907,166.964,0.175,0.154,3017820602368,10354694291456,0.108,0.081,55468064,7972400,28640098123776,492.0,27290287488.0,484.8900513420773
PBSA,Infrastructures,15.314035,,,4.6325617,0.31697,0.13584,0.15842,0.16719,1.461,2.27,1.719,241731485696,304061382656,-0.192,-0.362,9360326,4204300,3555000057856,1185.0,11091986310.0,400.3539442873476
MORA,Infrastructures,250.00002,,,15.394249,0.06741,0.04768,0.11212,0.34186,67.542,1.635,1.428,-457418735616,1525930000384,0.211,3.966,5079128,735500,111612274933760,4720.0,23973484160.0,442.692711586045
JAST,Infrastructures,,,,1.6132187,0.061690003,0.02869,-0.00801,0.04054,36.283,0.985,0.901,-8512162304,13764163584,0.733,,74515069,7654400,107175002112,99.0,7376991831.0,252.20888454639052
KETR,Infrastructures,6.2034364,,,0.997899,0.124460004,0.06945,0.16834,0.28476,58.86,1.558,0.56,40617373696,398742880256,-0.121,-0.642,24732708,33356800,1159235239936,408.0,10090944864.0,355.5902498950851
MTEL,Infrastructures,20.200077,18.433989,,1.3024904,0.06371,0.04552,0.22773,0.44871,53.852,0.382,0.349,1844573765632,6597172002816,0.014,0.0,13656333,3370300,42734651965440,525.0,7169574825.0,387.3161161780817
PGEO,Infrastructures,18.689924,16.775843,,21428.572,0.06791,0.042340003,0.31821,0.38953,36.805,4.111,3.968,149478496,313523008,0.126,0.332,34238741,10249200,43926228566016,1050.0,35950678050.0,393.1204692265774
INET,Infrastructures,149.47368,,,6.3398514,0.07593,0.03828,0.26670998,0.21765,2.285,1.483,1.28,206100774912,351595724800,2.244,,548635133,398150100,6354247352320,284.0,155812377772.0,489.4976990739545
DATA,Infrastructures,26.666666,,,7.656139,0.32118,0.15731,0.23704,0.57526,117.879,0.387,0.081,-260099489792,137270288384,0.169,-0.158,5826603,10921700,2722500182016,1980.0,11536673940.0,251.65680648810164
CDIA,Infrastructures,54.33619,,,112777.78,0.13536,0.00987,0.81774,0.16429001,49.529,21.377,13.759,-496998656,24305512,0.52,2.243,110142855,134776100,126701820444672,1015.0,111794997825.0,574.3521486190183
